ReceiptTS,Source,mktTS,px,qty,side
2021-05-16 16:32:14.219773578+00:00,OKEx,2021-05-16 16:32:14.039000+00:00,47568.4,0.02221022,Sell
2021-05-16 16:32:14.219912413+00:00,OKEx,2021-05-16 16:32:14.039000+00:00,47568.4,0.03280798,Sell
2021-05-16 16:32:14.222853513+00:00,OKEx,2021-05-16 16:32:14.043000+00:00,47568.4,0.00719202,Sell
2021-05-16 16:32:14.226371053+00:00,OKEx,2021-05-16 16:32:14.043000+00:00,47568.3,0.00513701,Sell
2021-05-16 16:32:14.226688861+00:00,OKEx,2021-05-16 16:32:14.044000+00:00,47563.7,0.28863617,Sell
2021-05-16 16:32:14.245530818+00:00,OKEx,2021-05-16 16:32:14.067000+00:00,47563.7,0.101,Sell
2021-05-16 16:32:14.269415113+00:00,Huobi,2021-05-16 16:32:14.123000+00:00,47563.15,0.001,Sell
2021-05-16 16:32:14.298152169+00:00,OKEx,2021-05-16 16:32:14.119000+00:00,47562.9,0.005,Sell
2021-05-16 16:32:14.300621103+00:00,Huobi,2021-05-16 16:32:14.159000+00:00,47560.69,0.0003069658449025,Buy
2021-05-16 16:32:14.401268431+00:00,Binance,2021-05-16 16:32:14.199000+00:00,47556.68,0.036859,Buy
2021-05-16 16:32:14.401467795+00:00,Binance,2021-05-16 16:32:14.214000+00:00,47556.67,0.056261,Sell
2021-05-16 16:32:14.416698556+00:00,OKEx,2021-05-16 16:32:14.238000+00:00,47554.8,0.00077453,Buy
2021-05-16 16:32:14.448546268+00:00,Huobi,2021-05-16 16:32:14.323000+00:00,47560.68,0.00083,Sell
2021-05-16 16:32:14.458601921+00:00,Binance,2021-05-16 16:32:14.241000+00:00,47556.68,0.00021,Buy
2021-05-16 16:32:14.458817641+00:00,Binance,2021-05-16 16:32:14.258000+00:00,47556.68,0.007189,Buy
2021-05-16 16:32:14.458888501+00:00,Huobi,2021-05-16 16:32:14.328000+00:00,47560.68,7E-06,Sell
2021-05-16 16:32:14.522576267+00:00,Binance,2021-05-16 16:32:14.299000+00:00,47554.01,0.147592,Buy
2021-05-16 16:32:14.522812988+00:00,Binance,2021-05-16 16:32:14.326000+00:00,47554.01,0.05,Buy
2021-05-16 16:32:14.524008581+00:00,OKEx,2021-05-16 16:32:14.334000+00:00,47554.7,0.02941686,Sell
2021-05-16 16:32:14.524082215+00:00,OKEx,2021-05-16 16:32:14.334000+00:00,47554.7,0.00700046,Sell
2021-05-16 16:32:14.589358092+00:00,Binance,2021-05-16 16:32:14.349000+00:00,47556.67,0.00042,Buy
2021-05-16 16:32:14.589390332+00:00,Binance,2021-05-16 16:32:14.349000+00:00,47557.28,0.047146,Buy
2021-05-16 16:32:14.589410109+00:00,Binance,2021-05-16 16:32:14.349000+00:00,47559.13,0.016934,Buy
2021-05-16 16:32:14.642183838+00:00,OKEx,2021-05-16 16:32:14.465000+00:00,47551.8,0.00070461,Buy
2021-05-16 16:32:14.642489015+00:00,Huobi,2021-05-16 16:32:14.516000+00:00,47560.66,0.001036,Sell
2021-05-16 16:32:14.658479857+00:00,Huobi,2021-05-16 16:32:14.531000+00:00,47560.66,2E-06,Sell
2021-05-16 16:32:14.659995567+00:00,Huobi,2021-05-16 16:32:14.532000+00:00,47554.04,0.000747,Sell
2021-05-16 16:32:14.829749893+00:00,Binance,2021-05-16 16:32:14.442000+00:00,47560.85,0.001976,Buy
2021-05-16 16:32:14.829993453+00:00,Binance,2021-05-16 16:32:14.501000+00:00,47556.69,0.00042,Sell
2021-05-16 16:32:14.830103612+00:00,Binance,2021-05-16 16:32:14.528000+00:00,47554.01,0.001186,Buy
2021-05-16 16:32:14.830226295+00:00,Binance,2021-05-16 16:32:14.529000+00:00,47554.0,0.007201,Sell
2021-05-16 16:32:14.917106351+00:00,OKEx,2021-05-16 16:32:14.739000+00:00,47551.8,1.709e-05,Buy
2021-05-16 16:32:14.928512964+00:00,Huobi,2021-05-16 16:32:14.802000+00:00,47548.98,0.000851,Sell
2021-05-16 16:32:14.969555697+00:00,Huobi,2021-05-16 16:32:14.842000+00:00,47548.98,0.00038,Sell
2021-05-16 16:32:15.044192180+00:00,OKEx,2021-05-16 16:32:14.829000+00:00,47551.8,1.86e-05,Buy
2021-05-16 16:32:15.060876841+00:00,Huobi,2021-05-16 16:32:14.931000+00:00,47548.99,0.002,Buy
2021-05-16 16:32:15.073679836+00:00,Huobi,2021-05-16 16:32:14.947000+00:00,47548.98,0.00214,Sell
2021-05-16 16:32:15.080470825+00:00,Binance,2021-05-16 16:32:14.585000+00:00,47554.0,0.001202,Sell
2021-05-16 16:32:15.080505932+00:00,Binance,2021-05-16 16:32:14.587000+00:00,47554.0,0.000468,Sell
2021-05-16 16:32:15.080573005+00:00,Binance,2021-05-16 16:32:14.601000+00:00,47554.0,0.024055,Sell
2021-05-16 16:32:15.080676116+00:00,Binance,2021-05-16 16:32:14.606000+00:00,47554.01,0.200413,Buy
2021-05-16 16:32:15.080760348+00:00,Binance,2021-05-16 16:32:14.613000+00:00,47554.0,0.001004,Sell
2021-05-16 16:32:15.080777280+00:00,Binance,2021-05-16 16:32:14.613000+00:00,47552.33,0.059996,Sell
2021-05-16 16:32:15.081000324+00:00,Binance,2021-05-16 16:32:14.622000+00:00,47552.33,0.000469,Sell
2021-05-16 16:32:15.081017578+00:00,Binance,2021-05-16 16:32:14.625000+00:00,47552.34,0.018519,Buy
2021-05-16 16:32:15.081035543+00:00,Binance,2021-05-16 16:32:14.628000+00:00,47552.33,0.000377,Sell
2021-05-16 16:32:15.081341846+00:00,Binance,2021-05-16 16:32:14.682000+00:00,47545.38,0.000419,Buy
2021-05-16 16:32:15.081413668+00:00,Binance,2021-05-16 16:32:14.694000+00:00,47545.37,0.192562,Buy
2021-05-16 16:32:15.081430487+00:00,Binance,2021-05-16 16:32:14.694000+00:00,47545.38,0.057758,Buy
2021-05-16 16:32:15.081586020+00:00,Binance,2021-05-16 16:32:14.712000+00:00,47542.9,0.10755,Buy
2021-05-16 16:32:15.240265623+00:00,Huobi,2021-05-16 16:32:15.109000+00:00,47547.29,0.002702,Sell
2021-05-16 16:32:15.242827085+00:00,Huobi,2021-05-16 16:32:15.112000+00:00,47547.3,0.000222,Buy
2021-05-16 16:32:15.283584706+00:00,Huobi,2021-05-16 16:32:15.148000+00:00,47547.29,0.0032,Sell
2021-05-16 16:32:15.321205891+00:00,Binance,2021-05-16 16:32:14.789000+00:00,47547.7,0.007378,Buy
2021-05-16 16:32:15.321258379+00:00,Binance,2021-05-16 16:32:14.801000+00:00,47547.7,0.000418,Buy
2021-05-16 16:32:15.321411860+00:00,Binance,2021-05-16 16:32:14.818000+00:00,47547.7,0.0183,Buy
2021-05-16 16:32:15.321428107+00:00,Binance,2021-05-16 16:32:14.819000+00:00,47547.7,0.0183,Buy
2021-05-16 16:32:15.321477417+00:00,Binance,2021-05-16 16:32:14.830000+00:00,47543.0,0.067293,Sell
2021-05-16 16:32:15.321510927+00:00,Binance,2021-05-16 16:32:14.838000+00:00,47547.7,0.003222,Buy
2021-05-16 16:32:15.321719455+00:00,Binance,2021-05-16 16:32:14.926000+00:00,47546.76,0.010082,Sell
2021-05-16 16:32:15.321829724+00:00,Binance,2021-05-16 16:32:14.941000+00:00,47547.99,0.022596,Sell
2021-05-16 16:32:15.321985100+00:00,Binance,2021-05-16 16:32:14.974000+00:00,47547.99,0.001473,Sell
2021-05-16 16:32:15.322105851+00:00,Binance,2021-05-16 16:32:15.027000+00:00,47547.99,0.06,Sell
2021-05-16 16:32:15.339375065+00:00,Huobi,2021-05-16 16:32:15.211000+00:00,47547.3,0.000217,Buy
2021-05-16 16:32:15.509907759+00:00,OKEx,2021-05-16 16:32:15.331000+00:00,47538.3,8.523e-05,Buy
2021-05-16 16:32:15.562608453+00:00,Binance,2021-05-16 16:32:15.034000+00:00,47548.0,0.009656,Buy
2021-05-16 16:32:15.562876142+00:00,Binance,2021-05-16 16:32:15.082000+00:00,47545.46,0.001957,Buy
2021-05-16 16:32:15.563086879+00:00,Binance,2021-05-16 16:32:15.137000+00:00,47543.01,0.005592,Sell
2021-05-16 16:32:15.563455846+00:00,Binance,2021-05-16 16:32:15.202000+00:00,47543.16,0.003243,Buy
2021-05-16 16:32:15.563601313+00:00,Binance,2021-05-16 16:32:15.213000+00:00,47543.15,0.000933,Sell
2021-05-16 16:32:15.563674780+00:00,Binance,2021-05-16 16:32:15.220000+00:00,47543.16,0.0179,Buy
2021-05-16 16:32:15.695401909+00:00,Binance,2021-05-16 16:32:15.324000+00:00,47543.16,0.010986,Buy
2021-05-16 16:32:15.695541607+00:00,Binance,2021-05-16 16:32:15.392000+00:00,47543.16,0.000566,Buy
2021-05-16 16:32:15.696037025+00:00,Binance,2021-05-16 16:32:15.475000+00:00,47545.58,0.029186,Buy
2021-05-16 16:32:15.844790987+00:00,OKEx,2021-05-16 16:32:15.663000+00:00,47548.4,0.01,Sell
2021-05-16 16:32:15.883205519+00:00,Binance,2021-05-16 16:32:15.731000+00:00,47544.44,0.000627,Buy
